Candidate - Website,# of entries,# of sites outside the host,# of Tracking entries,Tracking rules urls,# of POST requests,# of potential tracking pixels
Jeromy Farkas - http://jeromy.ca/,86,24,31,cdnjs.cloudflare.com/ajax/libs/object-fit-images/3.2.4/ofi.min.js&&cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js&&fonts.gstatic.com/s/lato/v20/S6uyw4BMUTPHjx4wXg.woff2&&cdn.embedly.com/widgets/media.html&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&fonts.gstatic.com/s/montserrat/v18/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2&&connect.facebook.net/en_US/fbevents.js&&www.facebook.com/tr/&&use.fontawesome.com/releases/v5.15.3/css/all.css&&apis.google.com/js/plusone.js&&stats.g.doubleclick.net/r/collect&&www.youtube.com/iframe_api&&www.google.com/ads/ga-audiences&&assets.juicer.io/embed-no-jquery.js&&www.google.ca/ads/ga-audiences&&assets.juicer.io/embed.css&&platform.twitter.com/widgets.js&&www.youtube.com/embed/&&connect.facebook.net/en_US/sdk.js&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&use.fontawesome.com/releases/v5.15.3/webfonts/fa-solid-900.woff2&&use.fontawesome.com/releases/v5.15.3/webfonts/fa-brands-400.woff2&&www.facebook.com/x/oauth/status&&www.google.com/&&googleads.g.doubleclick.net/pagead/id&&static.doubleclick.net/instream/ad_status.js&&syndication.twitter.com/settings&&www.youtube.com/generate_204&&www.gstatic.com/cv/js/sender/v1/cast_sender.js&&,0,3
Jyoti Gondek - http://jyotigondek.ca/,50,14,9,www.googletagmanager.com/gtag/js&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&connect.facebook.net/en_US/fbevents.js&&www.facebook.com/tr/&&,3,2
Kevin J. Johnston - http://calgarymayor.co/,177,7,26,siteassets.parastorage.com/pages/pages/thunderbolt&&frog.wix.com/bolt-performance&&static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&frog.wix.com/bt&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/d513e15e-8f35-4129-ad05-481815e52625.woff2&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/8bf38806-3423-4080-b38f-d08542f7e4ac.woff2&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&frog.wix.com/site-members&&static.parastorage.com/services/wix-thunderbolt/dist/activePopup.b727980a.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.2f6d1ded.chunk.min.js&&static.parastorage.com/services/chat-worker/1.657.0/viewer-script.bundle.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/sosp.a216a77b.chunk.min.js&&static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js&&frog.wix.com/bpm&&,6,0
Larry Heather - http://larryforcalgary.co/,5,2,1,www.statcounter.com/counter/counter.js&&,0,0
Mizanur Rahman - http://mizanurrahman.ca/,60,4,4,fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&,1,0
Paul Michael Hallelujah - http://hallelujah.news/,23,6,1,fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&,1,0
Randall Kaiser - https://youtube.com/channel/UCEy2Ie9q8jsBqTQ0BJHplbA,29,8,6,fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&accounts.google.com/ServiceLogin&&googleads.g.doubleclick.net/pagead/id&&www.google.com/&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&,1,2
Shaoli Wang - http://shaoliw.com/,35,3,3,www.googletagmanager.com/gtag/js&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&,2,0
Teddy Ogbonna - http://teddy4calgary.ca/,40,4,7,img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js&&img1.wsimg.com/traffic-assets/js/tccl-tti.min.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/MESSAGING/bs-Component-f9246098.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/form/formIdentifiers-8d1eb835.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/traffic2-f4096148.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/components/Recaptcha/badge-a479b038.js&&img6.wsimg.com/wrhs/ce554d2333f3801abafb32da18213ff7/tti.min.js&&,2,3
Virginia Stone - http://virginia4mayor.com/,74,14,35,cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-a55261a7a987674749989983b5889eadaac6795d8d48548fb61470a96edb9524.js&&cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-b61f50798075db890698930c4405673937fe89353f7fea7be88b5ce16a9c0af8.js&&cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js&&cdn.shopify.com/shopifycloud/payment-sheet/assets/latest/dynamic-checkout-cart.en.js&&cdn.shopify.com/shopifycloud/payment-sheet/assets/latest/c325c096835c150b1069.872.en.js&&cdn.shopify.com/shopifycloud/consent-tracking-api/v0.1/consent-tracking-api.js&&cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js&&connect.facebook.net/en_US/fbevents.js&&monorail-edge.shopifysvc.com/unstable/produce_batch&&www.facebook.com/tr/&&monorail-edge.shopifysvc.com/v1/produce&&godog.shopifycloud.com/v1/event.gif&&pay.google.com/gp/p/js/pay.js&&pay.google.com/gp/p/ui/payframe&&www.google-analytics.com/analytics.js&&pay.google.com/gp/p/ui/pay&&,10,14
Will Vizor - http://willvizorformayor.com/,47,6,7,www.googletagmanager.com/gtag/js&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOkCnqEu92Fr1Mu51xIIzI.woff2&&fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&www.youtube.com/iframe_api&&www.google-analytics.com/g/collect&&,1,0
Zac Hartley - http://zacformayor.com/,41,10,21,fonts.shopifycdn.com/helvetica/helvetica_n7.39bee04bd277a9c4e94e2fd42d53f4e3c0afb8a5.woff2&&fonts.shopifycdn.com/helvetica/helvetica_n4.fe093fe9ca22a15354813c912484945a36b79146.woff2&&cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-a55261a7a987674749989983b5889eadaac6795d8d48548fb61470a96edb9524.js&&cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-b61f50798075db890698930c4405673937fe89353f7fea7be88b5ce16a9c0af8.js&&cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js&&www.youtube.com/iframe_api&&cdn.shopify.com/shopifycloud/consent-tracking-api/v0.1/consent-tracking-api.js&&cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js&&www.youtube.com/embed/&&cdn.shopify.com/shopifycloud/media-analytics/v0.1/analytics.js&&www.google.com/&&www.gstatic.com/cv/js/sender/v1/cast_sender.js&&www.youtube.com/generate_204&&monorail-edge.shopifysvc.com/unstable/produce_batch&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&static.doubleclick.net/instream/ad_status.js&&googleads.g.doubleclick.net/pagead/id&&,6,0
Zaheed Ali Khan - http://mayorelectkhan.business.blog/,61,13,19,s0.wp.com/&&s0.wp.com/_static/&&s0.wp.com/wp-content/themes/h4/global.css&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&stats.wp.com/w.js&&0.gravatar.com/js/gprofiles.js&&0.gravatar.com/dist/css/hovercard.min.css&&0.gravatar.com/dist/css/services.min.css&&r-login.wordpress.com/remote-login.php&&public-api.wordpress.com/wp-admin/rest-proxy/&&pixel.wp.com/g.gif&&s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css&&,0,3
Zane Novak - http://zane4mayor.ca/,37,10,10,assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js&&connect.facebook.net/en_US/fbevents.js&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&stats.g.doubleclick.net/j/collect&&www.youtube.com/iframe_api&&www.facebook.com/tr/&&,9,1
