Candidate - Website,# of entries,# of sites outside the host,# of Tracking entries,Tracking rules urls,# of POST requests,# of potential tracking pixels
Dar Zuch - http://together.forastrongeralberta.ca/,26,8,8,www.youtube.com/embed/&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google.com/&&www.youtube.com/generate_204&&googleads.g.doubleclick.net/pagead/id&&static.doubleclick.net/instream/ad_status.js&&www.youtube.com/youtubei/v1/log_event&&,1,0
David Barrett - http://db4cbe.ca/,159,9,33,www.google.com/recaptcha/api.js&&js.stripe.com/v3/&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLEj6Z1xlFQ.woff2&&www.google.com/recaptcha/api2/anchor&&fonts.gstatic.com/s/poppins/v15/pxiEyp8kv8JHgFVrJJfecg.woff2&&www.gstatic.com/recaptcha/api2/logo_48.png&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&www.google.com/recaptcha/api2/webworker.js&&fonts.gstatic.com/s/montserrat/v18/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2&&www.google.com/recaptcha/api2/reload&&r.stripe.com/0&&m.stripe.network/inner.html&&www.youtube.com/iframe_api&&,6,16
Hilary Sellen - http://takebackthecbe.ca/,24,5,0,,0,0
Humaira Falak - http://humairafalak4trustee.com/,92,3,5,fonts.gstatic.com/s/poppins/v15/pxiEyp8kv8JHgFVrJJfecg.woff2&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLEj6Z1xlFQ.woff2&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&,0,0
Jay Chowdhury - http://ourstudentsourfuture.ca/,48,1,0,,0,0
Laura Hack - http://laurahack.ca/,28,2,2,fonts.gstatic.com/s/lato/v20/S6uyw4BMUTPHjx4wXg.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&,0,0
Malik Ashraf - http://malikashraf.com/,81,3,5,fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLEj6Z1xlFQ.woff2&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&fonts.gstatic.com/s/poppins/v15/pxiEyp8kv8JHgFVrJJfecg.woff2&&,0,0
Marilyn Dennis - http://marilyndennis.org/,20,3,2,fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&fonts.gstatic.com/s/poppins/v15/pxiEyp8kv8JHgFVrJJfecg.woff2&&,0,0
Maxx Lapthorne - http://cbetrusteemaxx.com/,121,8,37,static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&siteassets.parastorage.com/pages/pages/thunderbolt&&frog.wix.com/bolt-performance&&frog.wix.com/bt&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&static.parastorage.com/services/third-party/fonts/Helvetica/Fonts/60be5c39-863e-40cb-9434-6ebafb62ab2b.woff&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/8bf38806-3423-4080-b38f-d08542f7e4ac.woff2&&frog.wix.com/site-members&&static.parastorage.com/services/chat-worker/1.657.0/viewer-script.bundle.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/headerPlaceholderHeight.eed006f5.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/loginSocialBar.f9d8ee25.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.2f6d1ded.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/sosp.a216a77b.chunk.min.js&&static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js&&frog.wix.com/bpm&&frog.wix.com/ugc-viewer&&frog.wix.com/pa&&static.parastorage.com/unpkg-semver/fedops-logger@5/fedops-logger.bundle.min.js&&static.parastorage.com/services/third-party/fonts/Helvetica/fontFace.css&&frog.wix.com/fed&&static.parastorage.com/services/santa-resources/resources/viewer/user-site-fonts/v15/languages-woff2.css&&static.parastorage.com/unpkg/focus-visible@4.1.1/dist/focus-visible.min.js&&,20,0
Melanie Wen - http://melaniewen.com/,35,3,8,www.google.com/recaptcha/api.js&&fonts.gstatic.com/s/lato/v20/S6u9w4BMUTPHh6UVSwaPGQ.woff2&&fonts.gstatic.com/s/lato/v20/S6uyw4BMUTPHjxAwXg.woff2&&www.google.com/recaptcha/api2/anchor&&www.gstatic.com/recaptcha/api2/logo_48.png&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&www.google.com/recaptcha/api2/webworker.js&&,1,0
Monica Truong - http://monicatruong.ca/,38,6,3,cdn2.editmysite.com/js/wsnbn/snowday262.js&&ec.editmysite.com/com.snowplowanalytics.snowplow/tp2&&,2,0
Najeeb Butt - http://najeebbutt.com/,10,5,0,,0,0
Nancy Close - http://nancyclose.ca/,44,8,6,apis.google.com/js/plusone.js&&fonts.gstatic.com/s/montserrat/v18/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&platform.twitter.com/widgets.js&&connect.facebook.net/en_US/sdk.js&&,0,0
Patricia Bolger - http://patriciabolger4trustee.com/,67,5,17,frog.wix.com/bolt-performance&&static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&siteassets.parastorage.com/pages/pages/thunderbolt&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&frog.wix.com/bt&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/0078f486-8e52-42c0-ad81-3c8d3d43f48e.woff2&&frog.wix.com/site-members&&static.parastorage.com/services/wix-thunderbolt/dist/activePopup.b727980a.chunk.min.js&&frog.wix.com/pa&&frog.wix.com/bpm&&,9,0
Shirley Anderson - http://shirleyanderson4cbe.ca/,24,6,4,assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&,3,0
Stacey Selley - http://staceyselley.ca/,38,5,13,frog.wix.com/bolt-performance&&static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&siteassets.parastorage.com/pages/pages/thunderbolt&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&frog.wix.com/bt&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&static.parastorage.com/services/third-party/fonts/Helvetica/Fonts/60be5c39-863e-40cb-9434-6ebafb62ab2b.woff&&,4,0
Stephen John - http://stephenjohn4trustee.com/,17,2,4,static.parastorage.com/services/third-party/fonts/Helvetica/fontFace.css&&static.parastorage.com/services/third-party/angular-translate/1.1.1/angular-translate.min.js&&static.parastorage.com/services/third-party/fonts/Helvetica/Fonts/530dee22-e3c1-4e9f-bf62-c31d510d9656.woff&&static.parastorage.com/services/third-party/fonts/Helvetica/Fonts/60be5c39-863e-40cb-9434-6ebafb62ab2b.woff&&,0,0
Susan Vukadinovic - http://susanvukadinovic.com/,65,6,18,frog.wix.com/bolt-performance&&static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&siteassets.parastorage.com/pages/pages/thunderbolt&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&frog.wix.com/bt&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/69b40392-453a-438a-a121-a49e5fbc9213.woff2&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/8bf38806-3423-4080-b38f-d08542f7e4ac.woff2&&static.parastorage.com/services/wix-thunderbolt/dist/tpaWorkerFeature.e6f852f3.chunk.min.js&&static.parastorage.com/services/chat-worker/1.657.0/viewer-script.bundle.min.js&&www.paypalobjects.com/en_US/i/btn/btn_donateCC_LG.gif&&www.paypalobjects.com/en_US/i/scr/pixel.gif&&,4,1
