Candidate - Website,# of entries,# of sites outside the host,# of Tracking entries,Tracking rules urls,# of POST requests,# of potential tracking pixels
Jeromy Farkas - http://jeromy.ca/,103,31,37,cdnjs.cloudflare.com/ajax/libs/object-fit-images/3.2.4/ofi.min.js&&cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js&&apis.google.com/js/plusone.js&&assets.juicer.io/embed.css&&assets.juicer.io/embed-no-jquery.js&&use.fontawesome.com/releases/v5.15.3/css/all.css&&fonts.gstatic.com/s/lato/v20/S6uyw4BMUTPHjx4wXg.woff2&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&cdn.embedly.com/widgets/media.html&&fonts.gstatic.com/s/montserrat/v18/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2&&use.fontawesome.com/releases/v5.15.3/webfonts/fa-solid-900.woff2&&www.youtube.com/iframe_api&&use.fontawesome.com/releases/v5.15.3/webfonts/fa-brands-400.woff2&&www.youtube.com/embed/&&platform.twitter.com/widgets.js&&connect.facebook.net/en_US/fbevents.js&&connect.facebook.net/en_US/sdk.js&&syndication.twitter.com/settings&&www.facebook.com/tr/&&www.facebook.com/x/oauth/status&&googleads.g.doubleclick.net/pagead/id&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google.com/&&stats.g.doubleclick.net/r/collect&&static.doubleclick.net/instream/ad_status.js&&www.google.com/ads/ga-audiences&&www.youtube.com/generate_204&&www.google.ca/ads/ga-audiences&&assets.juicer.io/standalone-sprites/twitter-reply-gray.png&&assets.juicer.io/standalone-sprites/twitter-retweet-gray.png&&assets.juicer.io/standalone-sprites/twitter-like-gray.png&&static.juicer.io/fonts/fontawesome-5-juicer.woff2&&graph.facebook.com/&&www.youtube.com/youtubei/v1/log_event&&,1,3
Jyoti Gondek - http://jyotigondek.ca/,48,12,9,www.googletagmanager.com/gtag/js&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&connect.facebook.net/en_US/fbevents.js&&www.facebook.com/tr/&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&,1,2
Kevin J. Johnston - http://calgarymayor.co/,185,8,33,www.google-analytics.com/g/collect&&frog.wix.com/bolt-performance&&static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&siteassets.parastorage.com/pages/pages/thunderbolt&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&frog.wix.com/bt&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/d513e15e-8f35-4129-ad05-481815e52625.woff2&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/8bf38806-3423-4080-b38f-d08542f7e4ac.woff2&&static.parastorage.com/services/wix-thunderbolt/dist/activePopup.b727980a.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.2f6d1ded.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/sosp.a216a77b.chunk.min.js&&static.parastorage.com/services/chat-worker/1.657.0/viewer-script.bundle.min.js&&static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js&&frog.wix.com/site-members&&frog.wix.com/bpm&&,18,0
Larry Heather - http://larryforcalgary.co/,6,2,1,www.statcounter.com/counter/counter.js&&,0,0
Mizanur Rahman - http://mizanurrahman.ca/,62,4,5,fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&fonts.gstatic.com/s/montserrat/v18/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&,0,0
Paul Michael Hallelujah - http://hallelujah.news/,23,6,1,fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&,1,0
Randall Kaiser - http://youtube.com/channel/UCEy2Ie9q8jsBqTQ0BJHplbA,40,10,7,fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&googleads.g.doubleclick.net/pagead/id&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&www.google.com/&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&accounts.google.com/ServiceLogin&&,4,2
Shaoli Wang - http://shaoliw.com/,25,2,3,www.google-analytics.com/g/collect&&www.googletagmanager.com/gtag/js&&www.google-analytics.com/analytics.js&&,1,0
Teddy Ogbonna - http://teddy4calgary.ca/,40,2,7,img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js&&img1.wsimg.com/traffic-assets/js/tccl-tti.min.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/MESSAGING/bs-Component-f9246098.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/form/formIdentifiers-8d1eb835.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/traffic2-f4096148.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/components/Recaptcha/badge-a479b038.js&&img6.wsimg.com/wrhs/ce554d2333f3801abafb32da18213ff7/tti.min.js&&,0,3
Virginia Stone - http://virginia4mayor.com/,85,15,48,cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-b61f50798075db890698930c4405673937fe89353f7fea7be88b5ce16a9c0af8.js&&cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-a55261a7a987674749989983b5889eadaac6795d8d48548fb61470a96edb9524.js&&cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js&&cdn.shopify.com/shopifycloud/consent-tracking-api/v0.1/consent-tracking-api.js&&cdn.shopify.com/shopifycloud/payment-sheet/assets/latest/dynamic-checkout-cart.en.js&&cdn.shopify.com/shopifycloud/payment-sheet/assets/latest/c325c096835c150b1069.872.en.js&&cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js&&connect.facebook.net/en_US/fbevents.js&&monorail-edge.shopifysvc.com/unstable/produce_batch&&monorail-edge.shopifysvc.com/v1/produce&&godog.shopifycloud.com/v1/event.gif&&pay.google.com/gp/p/js/pay.js&&pay.google.com/gp/p/ui/payframe&&www.facebook.com/tr/&&www.google-analytics.com/analytics.js&&pay.google.com/gp/p/ui/pay&&www.google-analytics.com/j/collect&&stats.g.doubleclick.net/j/collect&&play.google.com/log&&,13,17
Will Vizor - http://willvizorformayor.com/,45,4,6,fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOkCnqEu92Fr1Mu51xIIzI.woff2&&fonts.gstatic.com/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&www.youtube.com/iframe_api&&www.googletagmanager.com/gtag/js&&,0,0
Zac Hartley - http://zacformayor.com/,40,8,20,fonts.shopifycdn.com/helvetica/helvetica_n7.39bee04bd277a9c4e94e2fd42d53f4e3c0afb8a5.woff2&&cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js&&cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-a55261a7a987674749989983b5889eadaac6795d8d48548fb61470a96edb9524.js&&fonts.shopifycdn.com/helvetica/helvetica_n4.fe093fe9ca22a15354813c912484945a36b79146.woff2&&cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-b61f50798075db890698930c4405673937fe89353f7fea7be88b5ce16a9c0af8.js&&www.youtube.com/iframe_api&&cdn.shopify.com/shopifycloud/consent-tracking-api/v0.1/consent-tracking-api.js&&cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js&&www.youtube.com/embed/&&cdn.shopify.com/shopifycloud/media-analytics/v0.1/analytics.js&&monorail-edge.shopifysvc.com/unstable/produce_batch&&monorail-edge.shopifysvc.com/v1/produce&&googleads.g.doubleclick.net/pagead/id&&www.google.com/&&static.doubleclick.net/instream/ad_status.js&&,5,0
page_1 - https://mayorelectkhan.ca/,59,9,34,s0.wp.com/_static/&&s0.wp.com/&&s0.wp.com/wp-content/themes/h4/global.css&&0.gravatar.com/js/gprofiles.js&&s0.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js&&stats.wp.com/w.js&&s0.wp.com/wp-includes/js/wp-emoji-release.min.js&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&pixel.wp.com/g.gif&&0.gravatar.com/dist/css/hovercard.min.css&&0.gravatar.com/dist/css/services.min.css&&r-login.wordpress.com/remote-login.php&&public-api.wordpress.com/wp-admin/rest-proxy/&&s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css&&s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js&&,0,3
Zane Novak - http://zane4mayor.ca/,73,17,25,assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmWUlfBBc4.woff2&&fonts.gstatic.com/s/roboto/v29/KFOlCnqEu92Fr1MmEU9fBBc4.woff2&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&www.youtube.com/iframe_api&&www.youtube.com/embed/&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google.com/&&www.youtube.com/generate_204&&www.youtube.com/youtubei/v1/player&&www.youtube.com/api/stats/qoe&&connect.facebook.net/en_US/fbevents.js&&googleads.g.doubleclick.net/pagead/id&&www.youtube.com/youtubei/v1/next&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&static.doubleclick.net/instream/ad_status.js&&www.youtube.com/api/stats/playback&&www.youtube.com/ptracking&&stats.g.doubleclick.net/j/collect&&www.youtube.com/youtubei/v1/log_event&&www.facebook.com/tr/&&,17,1
